BD,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
base_1_10_10,0.7275241179446129,0.6859251298729095,0.7389275773821864,0.7197534615160839,0.7360571413678416,0.7417999450521731,0.7071537226926738,0.6527430750237919
base_1_2_10,0.7476090104669575,0.7644493083706384,0.7628608010329829,0.7672406780851345,0.7494051175192178,0.7101586110888286,0.6896614411250046,0.6616009353740546
base_1_3_10,0.7636237366430059,0.7733184946879598,0.7722993973123286,0.7751173340356254,0.7621143867810978,0.7359564075793974,0.7014160507225451,0.6510502817528576
base_1_4_10,0.7888266638344709,0.7832878923274665,0.7939015741682541,0.7826989740551162,0.7833232699147751,0.7724855053305621,0.7394164069332145,0.6979497122329852
base_1_5_10,0.7930395214978149,0.7422531836101733,0.7944034760957557,0.7749188298251026,0.7937060697565629,0.7773890230551862,0.7250946472847842,0.7057424833653291
base_1_6_10,0.7345623136119731,0.739900746382055,0.7418778037854492,0.7177736867557245,0.7502468351046139,0.7026778181830877,0.7040778546863835,0.6761286999518145
base_1_7_10,0.7644007653861894,0.7629996470610305,0.767633134732974,0.7567682848398587,0.7720368570129782,0.7320015942457514,0.7218866448041673,0.685970333322238
base_1_8_10,0.7466622815212797,0.7287084437169395,0.7593346237119161,0.741703655152967,0.7562313896150223,0.7551552284057641,0.7171738820589869,0.6864991385865044
base_1_9_10,0.7469140000252242,0.727034441497972,0.7371192054708018,0.7323659615570282,0.7369162714073532,0.7528260779387983,0.7202489125758156,0.7078064076377775
base_2_10_10,0.6924244420635721,0.6711105647417244,0.6835325923281418,0.6795823442573113,0.6916552694959615,0.6892423652995869,0.6873166290377297,0.6540354764299375
base_2_2_10,0.74479299012679,0.7607512632773533,0.7581026538093378,0.7610928987536116,0.7390855013396711,0.6843055040140889,0.693437020142686,0.6449363670607918
base_2_3_10,0.7525397659044709,0.6989169372676596,0.7630745561629666,0.762420128617306,0.7558386484748525,0.6865876781233564,0.6913201294424736,0.6450180984171738
base_2_4_10,0.7765232564186808,0.792848951576055,0.7899590511855912,0.7956980104754658,0.77267410682907,0.7565520474389757,0.742438926488475,0.6961948528534764
base_2_5_10,0.7649616698208088,0.7376154919069666,0.7770717988091335,0.7569224913275702,0.7657991905465333,0.7483022964429457,0.7224243180022534,0.7220367219412168
base_2_6_10,0.7222420151684859,0.7113539274554836,0.732294531611811,0.718237573286068,0.7217415237105577,0.6971112117124572,0.7017127081524824,0.6482862391437461
base_2_7_10,0.7711163039136647,0.77120348135004,0.7804929923268821,0.7731812800818249,0.7685503124997647,0.7961756371142839,0.7332177992843518,0.6948182114395067
base_2_8_10,0.7556937085979025,0.7348047753302556,0.7553087300818975,0.7199046005896814,0.7557725448322085,0.7239965436771056,0.7228538162846923,0.7172668362224017
base_2_9_10,0.6940727803267968,0.684998634658661,0.7054938572724093,0.6894501263645219,0.7005619696506102,0.715125768774166,0.7006275066210673,0.6806997421127778
base_3_10_10,0.6684235820760893,0.6547981193184931,0.6711537045662637,0.6560676367165392,0.6723655046517493,0.6549191494138432,0.6654956531754597,0.6452675706653002
base_3_2_10,0.7228645548425096,0.6999169602925952,0.7305528670107737,0.7302799599154957,0.7272803206821802,0.6255582125371438,0.6709941516423056,0.6245211162778539
